"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"LOC107986768",8,0,2,0,0,9,8214,6,35,0,0,0,0,3,0,48,0,4,0,0
"PPIA",1,3717,2,0,0,0,2,2,15689,0,4,0,0,0,0,0,0,0,0,0
"ZNF107",11,19039,0,0,2,0,4,3,0,52,9,0,0,0,0,0,0,2,0,4
"AKAP9",4,1275,67,10826,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
"KMT2E",2,4270,0,0,2,5,0,0,20,0,6,0,0,0,0,0,0,15,0,2
"IMMP2L",2,0,18,0,0,2,4,12,0,28,2,1,13,39,4,3062,4,0,0,0
"LSM8",14,9,4,1,28,51226,4,4,0,0,0,0,0,0,0,0,5,0,0,0
"TRBV3-1",0,0,4,0,2,9,1,15,0,5,11,0,0,0,2,0,0,0,9,11
"TRBV5-1",0,0,6,0,1,7,0,19,10,2,2,9,48,32,0,26,2,0,0,0
"TRBV29-1",13,0,20,1,0,9,1,0,13,3,0,0,10,14,0,38,2,0,3,1
"TRBJ2-3",2,0,16,0,2,8,0,35,0,11,4,7,0,0,2,15,0,0,0,13
"TRBJ2-7",8,0,23,1,0,19,5,15,16,7,12,2,83,12,1,38,2,0,8,2
"DEFA1B",0,2257,0,1,6,0,0,12,11,41,0,1888,0,0,0,0,0,154337,11,6
"DEFA3",0,2309,0,0,1,3,0,9,19,42,0,0,0,0,0,0,0,147552,7,5
"PCMTD1",516,9439,0,0,2,7,1,12,1,0,0,39,82,14,5672,30,0,294,0,0
"RPL7",0,11059,0,4802,0,1,2,6,28215,1,8,6,1,6,5083,0,0,23696,861,0
"STAU2",20,34827,4,2,0,9,1,6,6,4,0,0,0,0,0,0,0,25,69824,3
"CA1",15,39987,0,432,0,6,5,6,8341,0,0,6,0,1,3507,0,0,6772,11365,2
"LOC101929601",1,3,5,2,2,6,5,18,5,21,2,19,2,17,8,150,0,7,7,6
"REXO1L2P",1,1,5,0,2,0,5,7,0,0,0,0,1,3,1,13,0,1,0,1
